[s],CH1[V]
-8.7312E-03,-2.600E+00
-8.7271E-03,-2.520E+00
-8.7230E-03,-2.680E+00
-8.7190E-03,-2.280E+00
-8.7149E-03,-2.360E+00
-8.7108E-03,-2.520E+00
-8.7067E-03,-2.440E+00
-8.7026E-03,-2.440E+00
-8.6986E-03,-2.200E+00
-8.6945E-03,-2.120E+00
-8.6904E-03,-2.200E+00
-8.6863E-03,-2.360E+00
-8.6822E-03,-2.200E+00
-8.6782E-03,-1.960E+00
-8.6741E-03,-2.120E+00
-8.6700E-03,-2.280E+00
-8.6659E-03,-2.200E+00
-8.6618E-03,-2.040E+00
-8.6578E-03,-1.720E+00
-8.6537E-03,-2.120E+00
-8.6496E-03,-1.880E+00
-8.6455E-03,-1.720E+00
-8.6414E-03,-1.800E+00
-8.6374E-03,-1.800E+00
-8.6333E-03,-1.800E+00
-8.6292E-03,-1.560E+00
-8.6251E-03,-1.560E+00
-8.6210E-03,-1.480E+00
-8.6170E-03,-1.640E+00
-8.6129E-03,-1.480E+00
-8.6088E-03,-1.560E+00
-8.6047E-03,-1.480E+00
-8.6006E-03,-1.400E+00
-8.5966E-03,-1.240E+00
-8.5925E-03,-9.200E-01
-8.5884E-03,-1.160E+00
-8.5843E-03,-1.000E+00
-8.5802E-03,-1.160E+00
